ItemId,icd10flag
A15,1
A16,1
A17,1
A18,1
A19,1
A33,1
A50,1
A51,1
A52,1
A53,1
A54,1
A55,1
A56,1
A57,1
A58,1
A59,1
A60,1
A61,1
A62,1
A63,1
A64,1
A69.0,1
A69.1,1
A69.8,1
A69.9,1
B16.0,1
B16.1,1
B16.2,1
B16.9,1
B17.1,1
B18.0,1
B18.1,1
B18.2,1
B19.1,1
B19.2,1
B20,1
B90,1
B97.35,1
C50.01,1
C50.11,1
C50.21,1
C50.31,1
C50.41,1
C50.51,1
C50.61,1
C50.81,1
C50.91,1
C53,1
C79.81,1
C79.82,1
D05,1
D06,1
D24,1
D48.6,1
D49.3,1
E08,1
E09,1
E10,1
E11,1
E12,1
E13,1
E40,1
E41,1
E42,1
E43,1
E44,1
E45,1
E46,1
E50,1
E51,1
E52,1
E53,1
E54,1
E55,1
E56,1
E58,1
E59,1
E60,1
E61,1
E63,1
